square_id,latitude,longitude,avg_latency,std_latency,total_throughput,zone_avg_latency,zone_avg_upload,zone_avg_download,cluster
square_128849018910,-37.69250567174552,144.77341393771718,66.0565423683507,31.419322723833243,37.5951896060963,66.0565423683507,14.041855118952151,23.55333448714415,1
square_128849018911,-37.692542593727765,144.78014379531362,142.31301718003456,54.95150092802897,27.77850072490184,142.31301718003456,14.77032997031298,13.00817075458886,1
square_128849018912,-37.69186634365938,144.78658175863433,253.50020333509096,24.93871327295431,20.898501039641282,253.500203335091,11.041792776166623,9.856708263474658,1
square_128849018913,-37.693556729092755,144.79372633679677,199.4728205778003,15.90051521015703,25.670187358440508,199.47282057780032,11.706198682209834,13.963988676230674,1
square_128849018914,-37.694585518181825,144.80052645454546,140.51789545454545,15.193351714757776,28.34952215909091,140.51789545454548,10.627018181818183,17.722503977272726,1
square_128849018915,-37.6929798962963,144.80730512222223,101.87768518518519,14.120917119220582,38.68966145833333,101.8776851851852,8.899296296296296,29.79036516203704,1
square_128849018930,-37.69448047058823,144.88578935294117,39.108823529411765,11.818559609697106,48.44705882352941,39.10882352941177,15.11176470588235,33.33529411764706,0
square_128849018932,-37.6943605,144.90323672727274,707.7477272727273,6.666444376743228,9.22181818181818,707.7477272727272,0.9545454545454546,8.267272727272728,3
square_128849018933,-37.693758583333334,144.91003404166665,481.3364583333334,7.9579977467310625,15.645833333333334,481.33645833333327,0.0,15.645833333333334,4
square_128849018934,-37.69441511764706,144.91721882352942,682.5191176470589,6.495735803816249,4.7812201286764715,682.5191176470588,0.0,4.7812201286764715,3
square_128849018960,-37.68583040243632,144.75925359313402,124.5917054263566,13.03037956317908,23.353416947847453,124.5917054263566,12.667335548172757,10.686081399674697,1
square_128849018961,-37.687933780839074,144.76529628365685,227.2448810269255,16.939034416838616,26.443877619657954,227.2448810269255,8.520976831559173,17.92290078809878,1
square_128849018962,-37.68464167373705,144.77315262920985,88.09037807642488,24.334373434828603,32.729964428837434,88.09037807642487,11.603367875647669,21.126596553189767,1
square_128849018963,-37.68583152816734,144.77974182552887,75.07682235955946,30.454704949085798,33.01793360582065,75.07682235955946,16.38420885825212,16.633724747568536,1
square_128849018964,-37.687132994263024,144.7850323036187,76.77620255957635,24.032713848400597,32.62777150678508,76.77620255957635,14.145180935569284,18.4825905712158,1
square_128849018965,-37.684564383040936,144.79291031871344,266.87565789473683,11.536583340046539,16.030847953216377,266.8756578947369,8.452192982456141,7.578654970760234,4
square_137438953485,-37.68394525806452,144.8745692580645,55.9741935483871,10.500023787869338,71.4016129032258,55.9741935483871,23.050967741935487,48.35064516129033,0
square_137438953487,-37.68741635294117,144.87913058823528,86.87647058823529,11.509780759616127,77.16,86.87647058823529,22.954117647058823,54.205882352941174,0
square_137438953517,-37.680219,144.7604057297297,63.82972972972973,11.985083259247114,26.224054054054054,63.829729729729735,12.74216216216216,13.481891891891896,1
square_137438953518,-37.676786794520545,144.76535816438354,49.199315068493156,12.122374914196175,31.747123287671233,49.19931506849315,14.838356164383558,16.90876712328767,1
square_137438953519,-37.67984634172662,144.7731090827338,64.13561151079136,33.39892304049774,40.96690647482014,64.13561151079136,13.105071942446044,27.8618345323741,1
square_137438953520,-37.68064597058824,144.77769376470587,51.75367647058823,10.26201497454023,31.52470588235294,51.75367647058823,13.81764705882353,17.70705882352941,1
square_137438953523,-37.67817615151515,144.86662284848487,164.23409090909092,11.295104499467865,87.82545454545455,164.23409090909092,22.30636363636364,65.51909090909089,0
square_137438953524,-37.68100628571428,144.8708422857143,598.5535714285714,6.638844479586905,0.0,598.5535714285714,0.0,0.0,3
square_137438953538,-37.668801967741935,144.75852899999998,45.73225806451613,13.057802872420195,83.34193548387097,45.73225806451613,22.016129032258064,61.3258064516129,0
square_137438953539,-37.672364933333334,144.76492643333333,45.60166666666667,13.350559058046048,92.05666666666666,45.60166666666667,19.95,72.10666666666667,0
square_137438953543,-37.66840353846154,144.85577323076922,41.8,12.073064827155612,0.0,41.8,0.0,0.0,2
square_137438953545,-37.67226044444445,144.85701144444445,39.080555555555556,10.828957564504371,0.0,39.08055555555555,0.0,0.0,2
square_146028888101,-37.663207906976744,144.85465211627908,198.51686046511628,10.370054858274605,0.0,198.51686046511628,0.0,0.0,2
square_146028888137,-37.656103578947366,144.8450365,66.21710526315789,11.13581833851266,0.0,66.2171052631579,0.0,0.0,2
square_146028888138,-37.6593071875,144.8503110625,303.70625,14.793288656958289,0.0,303.70625,0.0,0.0,2
square_154618822680,-37.64717886363636,144.83979077272727,127.53636363636362,12.737945509919722,0.0,127.53636363636365,0.0,0.0,2
square_154618822682,-37.65088884210527,144.84200931578948,65.97368421052632,12.837826958164303,0.0,65.97368421052632,0.0,0.0,2
square_154618822713,-37.64122602475247,144.81711642574257,984.6024752475248,0.5695488150802704,0.0,984.6024752475248,0.0,0.0,3
square_154618822715,-37.64229276642336,144.82187132846715,987.1182481751825,0.4782086024107904,0.0,987.1182481751824,0.0,0.0,3
square_154618822717,-37.64480826086957,144.83589708695652,53.9804347826087,12.108377430045746,0.0,53.98043478260869,0.0,0.0,2
square_154618822732,-37.633650351851855,144.75115834444443,1000.0,0.0,0.0,1000.0,0.0,0.0,3
square_154618822733,-37.63473468831169,144.80188733766232,67.88055194805195,12.640353232541612,0.0,67.88055194805195,0.0,0.0,2
square_154618822741,-37.63438776851852,144.7583347962963,995.9148148148148,0.15165411696823677,0.0,995.9148148148148,0.0,0.0,3
